岗位,地点,薪资,工作经验,学历,公司,技能,区间最小薪资(K),城市地区,城市,地区
人工智能图像处理算法工程师,南京,20-40K·15薪,'经验不限', '本科',某大型电子公司,"['人工智能', '图像处理', '算法']",20,南京,南京,
图像算法工程师,南京,14-20K·14薪,'3-5年', '本科',木木西里,"['C++', '算法设计', '深度学习算法', '机器学习算法', '视觉图像算法', '图像处理']",14,南京,南京,
算法工程师,南京·浦口区·江浦,11-22K·13薪,'经验不限', '硕士',鸿程大数据,"['Python', '自然语言处理', '深度学习算法', '机器学习算法', 'TensorFlow', 'MXNet']",11,南京浦口区,南京,浦口区
图像识别工程师,南京·江宁区·百家湖,12-18K,'3-5年', '本科',云放科技,"['Python', 'C/C++', '图像识别经验']",12,南京江宁区,南京,江宁区
驱动工程师-图像,南京·江宁区·麒麟镇,15-25K·15薪,'在校/应届', '本科',清微智能,"['C/C++', '计算机相关专业']",15,南京江宁区,南京,江宁区
人工智能图像处理算法工程师,南京·建邺区·江心洲,25-50K·15薪,'3-5年', '本科',海飞科,"['CUDA', '图像算法', '图像处理']",25,南京建邺区,南京,建邺区
算法工程师,南京·雨花台区·铁心桥,20-40K·15薪,'3-5年', '本科',阳光电源,"['深度学习算法', '机器学习算法', 'Python', 'Java', '分布式技术', 'TensorFlow', 'PyTorch', '数据挖掘']",20,南京雨花台区,南京,雨花台区
图像算法工程师,南京,20-21K·13薪,'1-3年', '学历不限',某计算机软件公司,"['C/C++', 'linux', '编程']",20,南京,南京,
图像工程师,南京·浦口区·江浦,15-25K,'1-3年', '硕士',拓控股份,"['深度学习算法', '视觉图像算法', '算法设计', '机器学习算法', 'Python', 'C++', 'C#', '人工智能']",15,南京浦口区,南京,浦口区
ISP 图像工程师,南京,30-50K·16薪,'经验不限', '本科',某大型半导体公司,"['嵌入式技术', '算法设计']",30,南京,南京,
图像算法功工程师,南京·浦口区·江浦,15-25K,'1-3年', '本科',大翼航空,"['Python', 'OpenCV', '图像识别经验', '遥感影像相关经验', '人脸识别经验', 'keras', 'tensorflow', 'pytorch']",15,南京浦口区,南京,浦口区
图像算法工程师,南京·雨花台区·南京南站,14-23K,'1-3年', '本科',富仁高科,"['C++', '视觉图像算法', '算法设计']",14,南京雨花台区,南京,雨花台区
视觉算法工程师,南京,15-25K·13薪,'1-3年', '本科',某大型知名智能硬件上市公司,"['C++', '算法设计', '深度学习算法', '视觉图像算法']",15,南京,南京,
图像算法工程师,南京·雨花台区·宁南,16-20K,'1-3年', '硕士',云石医疗,"['研究导向', '语音/图像识别', 'C/C++', '计算机相关专业', '数学/统计相关专业', '深度学习经验']",16,南京雨花台区,南京,雨花台区
算法工程师,南京·江宁区·百家湖,18-23K·13薪,'1-3年', '硕士',圣享科技,"['算法设计', '深度学习算法', '机器学习算法', '视觉图像算法', 'PyTorch', '图像识别', '目标检测']",18,南京江宁区,南京,江宁区
图像处理技术总监,南京·雨花台区·铁心桥,20-35K,'经验不限', '硕士',数溪科技,"['人工智能', '深度学习', '数据分析']",20,南京雨花台区,南京,雨花台区
算法工程师,南京·栖霞区·仙林大学城,15-20K·14薪,'在校/应届', '硕士',AAC瑞声科技,"['无明显侧重', '语音/图像识别', 'MATLAB', 'Python', 'C/C++', '计算机相关专业', '数学/统计相关专业']",15,南京栖霞区,南京,栖霞区
图像算法工程师-知名上市企业-南京,南京,20-40K,'3-5年', '硕士',某大型智能硬件上市公司,"['C/C++', 'OpenCV', '图像处理', '图像增强']",20,南京,南京,
图像fpga工程师,南京,18-35K·14薪,'1-3年', '本科',某大型医疗设备公司,"['视频产品', '图像']",18,南京,南京,
